    GV.0	GV.1	MI.0	MI.1	MII.0	MII.1	PN.0	PN.1	CL.0	CL.1	MOR.0	MOR.1	ICM.0	ICM.1	TROPH.0	TROPH.1
LTR41	918	983	934	1106	695	411	718	538	899	726	398	341	384	433	269	284
MER117	1159	1230	936	1083	845	549	1030	823	1395	1010	566	603	630	648	512	647
(CAGG)n	65	59	13	27	9	18	33	17	40	25	18	20	4	27	16	28
L1M5	23887	21744	30978	31553	24656	14261	27690	22318	38409	26453	12982	12672	14401	13828	11409	14193
L1MDb	853	809	772	749	419	264	391	322	540	384	141	213	228	288	178	207
(CCCCCG)n	27	33	33	50	42	33	42	32	64	33	5	5	15	6	2	10
Tigger1	7143	7162	8463	9156	6963	4224	7931	6454	10420	8072	5600	5570	6897	6530	5349	5684
MLT1E3	1573	1700	1464	1326	1347	908	1547	1238	1919	1646	506	492	446	343	290	409
L1MEb	849	859	775	854	619	382	705	560	957	671	498	462	551	486	508	589
AluJb	51991	56960	53793	61504	53608	36206	57848	46733	75031	59053	42972	42895	52441	54147	40881	44922
PRIMA4_LTR	103	125	90	184	83	49	111	85	164	90	59	77	98	91	84	85
AluJr	26867	28774	25877	30002	24288	16123	27219	22177	35351	27893	21486	21489	25524	26299	20718	22944
LTR49-int	819	682	1024	918	795	469	901	713	1256	823	444	387	411	472	309	380
MLT1I-int	208	190	154	220	144	71	181	120	246	140	125	118	106	148	86	79
MER97c	49	67	56	53	46	23	42	38	70	34	57	56	43	47	64	95
L1MB3	7028	7606	7308	7379	5918	3852	6833	5782	9229	6902	5066	5092	6216	5684	4752	5424
MER34A	363	300	282	313	167	145	237	218	338	245	191	182	222	238	228	197
(TA)n	4600	3600	5452	4381	3345	1772	4009	3387	6318	3260	3341	3725	4300	3484	2703	4414
(TCTCC)n	42	50	67	38	47	46	64	47	68	71	34	27	32	56	33	32
X6A_LINE	29	36	79	74	32	14	39	34	54	39	15	26	21	29	20	43
LTR69	23	19	18	56	15	16	27	19	46	14	9	12	23	24	25	10
CR1_Mam	357	312	482	384	411	225	392	365	542	417	311	352	384	362	315	463
Kanga1	120	106	201	196	124	110	156	122	217	135	91	122	148	125	121	126
MER91B	385	396	248	346	207	161	303	265	374	337	206	193	215	208	190	190
MER4E1	514	375	378	422	303	235	397	301	477	393	247	302	338	346	259	264
MER65A	413	448	556	546	388	252	564	432	708	536	227	223	217	256	215	275
MER97b	39	50	25	57	20	16	35	33	63	25	27	21	42	15	14	21
LTR10C	313	269	261	319	244	144	297	194	389	226	155	177	266	208	175	209
UCON28c	22	21	35	13	21	11	20	24	30	26	7	10	6	9	8	8
MLT2A2	1958	2153	1440	1506	1093	763	1257	1046	1572	1294	727	767	902	776	550	723
MER5C	346	299	487	403	281	141	307	247	430	265	257	283	333	309	236	257
L1ME2z	2833	2551	3277	3305	2523	1452	2804	2269	3661	2662	1968	1967	2297	2178	1825	2115
L1MA5A	3847	3732	3181	3139	1875	1136	1630	1262	2154	1450	931	787	1220	978	892	1039
L1MC3	5614	5661	5661	5678	4071	2441	4608	3800	6272	4231	3071	2872	3321	3052	2482	2831
X7A_LINE	190	181	175	190	139	74	169	124	202	160	139	142	175	161	137	151
LTR81AB	33	36	20	35	18	11	23	11	25	17	9	21	13	8	10	12
UCON31	8	16	15	14	4	5	9	9	16	7	6	7	15	16	6	5
AmnSINE1	329	374	339	356	244	130	286	221	378	247	128	148	178	162	143	129
(CAAAAA)n	178	141	232	171	159	95	159	119	226	119	119	120	150	124	76	96
MER63D	288	238	275	304	215	113	232	191	312	209	137	140	148	175	143	195
AluSg7	2960	3018	2698	3411	2703	1938	3131	2624	4071	2992	2310	2227	2688	2859	2170	2217
L1M3a	702	694	566	612	548	332	705	585	928	655	408	415	658	592	466	557
LTR86A1	94	87	119	80	61	42	102	60	94	100	68	66	75	94	84	76
HERVE_a-int	219	268	222	134	193	120	192	154	241	181	204	186	272	239	187	201
MER3	3086	3157	2760	2996	2652	1745	3174	2684	4168	2984	2223	2297	2289	2573	2052	2557
Charlie22a	201	183	286	240	184	113	193	167	230	206	232	246	265	287	253	276
L1MA6	2015	1804	2314	2292	1361	820	1871	1378	2496	1464	3364	2781	2543	2611	2089	2532
MER110A	133	131	110	89	82	59	107	73	124	93	54	58	52	49	42	68
(TCG)n	18	73	77	159	91	81	80	47	81	71	3	2	4	3	5	3
MER51A	537	515	485	488	398	268	507	381	629	444	293	261	327	347	297	318
L1MEc	8192	7962	9274	9786	7302	4198	7233	5782	9262	6469	4600	4825	5983	5335	4228	4990
L1MB4	4597	4577	5228	5151	3885	2382	3710	2975	4623	3426	2596	2581	3320	3054	2504	2890
L1MCc	1215	1182	1089	1200	1013	644	1081	910	1470	944	596	564	691	580	559	578
Zaphod	405	441	516	515	324	193	396	334	554	333	244	218	320	254	169	193
MER101B	46	71	117	94	59	30	59	40	71	48	26	19	28	35	15	32
(TAA)n	563	384	543	716	563	278	558	485	815	457	372	363	501	356	273	450
MamRep38	327	368	323	365	307	193	369	320	469	359	222	180	218	210	167	219
MER46C	789	721	986	1006	777	474	813	730	1028	823	691	705	799	753	667	866
LTR19A	172	167	164	175	155	114	175	147	206	178	67	81	108	101	68	90
(CAGCC)n	68	57	24	27	45	29	77	43	81	61	15	33	30	37	24	31
MLT1A0	6257	6290	5639	5679	4954	3088	5520	4386	6943	4910	3042	3156	3741	3378	2695	3226
Kanga1b	98	133	123	120	76	38	151	86	136	141	76	96	90	63	67	83
L1MA1	2184	2053	2859	2866	1872	1049	2085	1690	2661	1850	1020	936	1109	913	820	936
MER4A1	834	839	734	616	585	332	654	562	843	608	385	446	552	495	340	430
(TATAG)n	8	19	4	10	8	4	9	16	20	11	20	17	20	13	9	9
(AGATG)n	32	39	11	18	16	4	16	7	14	13	9	5	10	4	11	5
(CACAC)n	91	167	63	73	70	67	90	69	78	107	51	68	38	53	44	40
MER135	69	80	96	128	55	49	72	73	147	33	43	52	36	56	60	72
LTR84b	311	316	374	291	335	219	313	218	350	274	167	142	154	133	128	133
MER67A	227	208	149	246	109	87	190	149	221	177	73	71	129	86	68	75
LTR40b	258	288	256	238	205	149	213	204	288	206	192	190	222	228	152	158
L1MEd	2591	2126	3457	3536	2956	1849	2999	2454	3918	2516	2027	2159	2898	2611	1964	2366
MLT2B4	6960	7983	6483	6924	7331	4570	6832	5763	7806	6847	646	781	669	803	551	834
MER105	297	262	281	262	223	109	197	165	215	205	208	172	211	201	179	244
X2_LINE	9	9	23	31	9	7	9	10	6	16	9	3	32	11	2	12
L1MDa	26453	23633	34454	33967	38822	21310	52256	41814	67370	43066	2697	2816	2304	2153	2077	4350
HAL1b	1226	1147	1313	1255	1081	623	1090	942	1422	960	851	857	1066	994	806	905
(CATA)n	715	717	660	592	435	295	605	493	713	561	458	402	479	398	401	432
MER63C	356	314	356	368	264	199	266	255	377	234	114	139	131	130	118	127
MER4E	282	224	296	251	190	119	200	177	272	169	150	146	218	181	159	185
MSTB1	1270	1355	1239	1134	1014	694	1479	1204	1796	1312	783	916	977	945	673	846
LTR60	62	64	76	65	64	31	64	75	74	87	42	29	55	38	42	40
MER96	273	284	181	232	209	145	274	224	309	264	157	154	125	117	133	161
L1PA12	1033	1183	767	750	753	544	853	708	1090	720	396	442	546	527	335	372
L1ME2	4360	4146	4567	5519	3912	2370	4269	3421	5460	3437	3217	3223	3845	3988	3053	3401
CT-rich	5266	5933	5049	5652	5600	3809	5268	4365	6159	4897	2848	2813	4204	4054	2750	3013
(TTCCC)n	83	114	57	45	78	54	104	64	91	98	46	37	34	54	32	44
L1MCb	13813	13322	14053	14241	16953	9838	29146	24008	35755	25439	516	617	381	308	324	1414
MER20	6378	6550	5837	6385	5298	3341	6123	4988	7241	5463	3612	3630	4310	4256	3413	3860
(TTG)n	811	801	916	1111	972	536	939	802	1167	831	1104	1027	995	1095	878	1130
(CATCT)n	8	17	2	13	4	2	4	9	3	12	29	14	17	7	17	12
LTR14C	42	45	45	51	24	22	42	19	33	35	30	26	22	26	16	39
(GGA)n	282	378	289	358	323	271	328	295	367	342	179	193	191	203	194	195
(CCCCCA)n	94	88	80	63	52	30	52	40	61	44	31	31	32	49	43	42
MLT1H2-int	99	92	136	84	111	73	106	98	108	123	54	71	57	89	31	75
LTR90A	139	122	94	154	98	36	105	66	117	77	71	81	123	110	104	104
LTR12_	1084	1453	695	803	746	489	876	760	1034	825	216	229	205	204	188	186
A-rich	2241	2222	2421	2536	2067	1144	1929	1556	2370	1601	1277	1210	1429	1345	1190	1331
LTR81	38	38	32	42	29	15	35	31	41	34	23	23	27	20	18	22
AluSq10	867	988	1115	1146	962	637	1030	773	1122	909	686	669	663	832	685	691
(GCATG)n	31	38	75	70	44	34	169	155	189	177	16	34	12	14	16	16
(TCCA)n	1490	2069	1623	1989	1393	940	1723	1418	1770	1744	1277	1312	1426	1120	1604	1572
AluSg4	6055	5791	7952	8480	6331	4150	6323	5074	7436	5394	3356	3344	4014	4079	3133	4033
(ATGGTG)n	76	90	46	87	53	44	64	59	72	66	81	53	92	96	64	59
(CAGGA)n	9	20	1	8	4	2	5	3	4	5	15	36	13	13	9	18
L1MC5	7391	6627	7955	8174	6479	3822	7881	6320	9381	6570	5588	5385	6716	6533	5529	5890
ERVL-E-int	5371	5874	4637	4916	3999	2520	4437	3823	5098	4148	1453	1365	1560	1427	1222	1467
MER61A	394	380	282	268	282	176	346	283	383	319	152	96	160	176	130	143
LTR16A2	612	622	471	617	476	327	714	584	803	644	257	246	164	236	205	210
L1MC4a	11338	10340	12379	13060	10185	5639	11161	9077	13687	9009	6852	6898	8179	7600	6644	7654
D20S16	17744	20770	13723	15309	21024	13292	14723	12128	15983	13828	272	392	116	134	176	627
Charlie10a	96	104	118	102	76	53	88	70	92	83	89	104	109	75	70	92
L1ME3B	3095	2835	3405	3840	3025	1821	2892	2473	3454	2531	1898	2013	2500	2289	1815	1995
MER52A	1414	1787	1466	1615	1375	922	1228	1147	1462	1181	719	771	854	932	696	853
HERVE-int	608	605	343	440	246	157	446	398	526	411	130	127	119	107	143	157
MER74A	549	617	384	533	431	331	543	434	590	482	286	269	361	330	247	328
HERVH48-int	396	508	249	405	363	227	582	422	589	504	91	115	186	154	96	122
(CTCTG)n	11	17	15	26	25	11	17	9	21	8	8	6	0	12	7	4
MER68	883	1005	854	909	811	502	819	692	890	759	565	592	721	689	595	718
LTR10B	6	25	34	25	13	11	14	13	19	11	20	25	59	26	30	35
PRIMA4-int	519	488	425	419	339	255	443	343	509	351	110	154	182	132	78	154
PrimLTR79	15	24	31	14	18	7	24	15	21	21	24	20	23	20	14	28
Arthur1B	600	663	523	676	523	327	572	530	678	526	220	264	235	239	226	278
Charlie19a	576	531	566	590	445	287	530	446	584	476	343	351	426	381	307	370
(CAA)n	723	772	725	662	722	505	733	629	771	701	328	326	381	428	299	294
HERVK14C-int	122	125	76	101	123	95	106	113	167	77	65	40	85	106	36	78
L3b	1573	1431	1688	1811	1297	847	1536	1261	1768	1261	854	834	997	922	764	902
MamRep1161	456	467	537	484	374	251	482	387	536	402	311	303	376	434	263	336
(GGGAA)n	13	17	4	0	10	10	17	11	15	15	1	9	2	5	5	8
(TGAA)n	533	546	528	569	453	281	499	393	565	398	324	295	324	347	252	321
MER74B	411	518	298	462	298	195	393	311	389	363	177	210	182	212	152	182
MER57B2	253	279	253	261	202	119	223	204	266	195	143	143	168	169	111	111
ERV3-16A3_I-int	4068	4604	3397	3974	3192	2127	4230	3473	4530	3724	1045	1018	929	874	680	866
ORSL-2a	59	54	89	105	66	30	71	51	69	61	41	33	45	48	40	48
L1PREC2	5368	5643	4775	5005	5161	3217	5200	4175	5692	4340	2228	2297	3200	3163	2114	2326
MER1B	2384	2966	2125	2317	1932	1324	2879	2476	3061	2649	1585	1742	1893	1772	1616	1714
LTR33A	594	766	533	580	480	308	552	475	642	457	228	226	313	274	142	203
MLT2B1	1131	1265	1060	1007	993	614	1190	942	1317	955	533	500	614	556	454	490
MLT1G3	1882	2185	1263	1242	1142	639	1233	1112	1480	1035	460	433	602	505	455	483
MER81	700	770	582	584	596	349	617	577	772	512	371	422	421	376	299	395
(C)n	52	92	76	142	138	109	100	72	96	85	12	15	26	15	11	20
T-rich	2600	2266	3324	3392	3037	1712	3017	2365	3466	2240	1904	1942	2604	2495	1802	2186
GA-rich	4415	5046	4431	4755	4716	3271	5099	4042	5187	4410	1628	1638	1588	1624	1435	1716
Tigger6a	328	355	358	400	393	215	361	287	427	260	146	178	235	188	151	187
(GACTG)n	2	1	1	0	0	0	3	1	0	4	0	0	0	2	3	1
LSU-rRNA_Hsa	29891	30623	25253	28165	46307	33685	48339	38442	44060	45148	56017	57865	45089	64647	43550	45444
MLT2C1	847	879	731	661	624	382	810	665	873	662	359	391	425	526	350	449
MER61F	33	29	28	36	39	16	39	35	41	36	17	19	32	29	11	9
U2	229	224	197	155	181	96	195	170	257	128	158	146	132	177	132	157
UCON11	6	9	6	1	3	1	4	10	7	8	2	2	2	6	1	5
HERV3-int	132	155	328	253	113	87	306	227	356	198	251	218	359	321	186	214
(CGA)n	133	305	239	420	253	265	303	217	237	288	22	24	18	21	28	36
MER4D1	740	840	736	673	561	330	569	527	598	530	305	332	358	336	267	318
MER58C	864	729	862	864	818	524	864	741	966	693	509	495	610	535	494	554
L2a	71369	75940	68595	72573	65381	41869	74031	60771	78595	60082	34619	35084	44806	40809	33297	37496
LTR35B	109	86	45	91	47	22	63	48	56	57	12	24	24	13	18	21
MER87B	122	131	101	161	134	119	164	149	184	139	39	42	32	49	26	53
MSTB2	833	1025	661	726	439	333	588	434	609	438	381	339	338	307	278	311
MER66A	138	154	68	129	90	81	131	112	142	108	43	53	51	70	42	67
(TTTTC)n	269	279	364	429	409	227	352	288	411	250	234	254	299	268	204	238
(CCG)n	201	338	317	555	327	226	304	204	255	256	163	145	145	192	189	190
LTR7Y	4068	4798	2794	3400	2512	1650	3094	2508	3046	2649	2561	2731	2313	1840	2068	1902
MLT2B3	1844	2046	1352	1472	1429	917	1561	1313	1667	1271	641	647	725	725	537	617
HERVK3-int	1304	1509	738	847	730	492	943	872	943	902	726	720	884	812	948	1030
(CA)n	11050	13954	9109	9646	9620	6360	11219	9545	11343	9746	6281	6484	6488	6624	5482	5926
(CAT)n	365	428	313	366	253	155	334	311	303	348	150	154	183	151	162	209
(TCTCTG)n	424	554	505	508	538	381	679	586	655	625	254	227	332	350	254	311
(TG)n	9560	11051	8564	8970	7900	5388	8871	7610	9222	7514	6113	6361	6709	6632	5729	6328
MLT1A	7183	7265	6601	7300	7837	4820	8879	7238	9502	6887	1506	1455	1681	1629	1275	1661
HERVL74-int	1197	1556	925	895	829	587	860	638	808	699	361	358	266	310	376	421
Charlie7a	483	401	846	825	397	240	387	306	400	301	179	221	210	209	188	233
Charlie13a	160	133	166	209	141	73	183	137	193	131	152	126	191	207	161	175
LTR82B	410	391	557	611	439	247	396	360	461	309	195	177	186	198	172	190
Tigger14a	244	216	251	276	209	107	231	196	241	190	146	167	175	165	125	160
LTR10B1	237	268	165	188	210	145	317	216	293	240	276	310	349	325	363	320
(CAGC)n	132	257	295	411	369	370	197	141	135	197	30	21	17	21	18	11
AT_rich	26756	16898	39234	39115	27580	13341	27674	22906	33883	17757	17970	18245	22351	20980	14960	21875
L1ME3C	3322	3229	4504	4482	3041	1800	3460	2802	3825	2505	2210	2240	2771	2399	2237	2378
MamRep488	95	100	56	105	90	55	86	64	76	73	64	61	54	57	49	60
MER41C	352	377	309	298	213	157	259	251	320	197	204	219	188	243	161	189
MamGypLTR2b	250	260	198	202	252	160	255	185	262	177	71	70	104	83	44	88
AluJr4	7372	7419	7539	9102	7585	5008	8167	6574	8426	6287	4953	4968	6189	5986	4819	5206
L2c	52628	56058	49055	53206	45123	28868	53723	44785	55799	42581	24807	25127	31242	29297	23533	27488
L1MD3	2716	2578	3190	3062	2722	1644	2727	2236	2957	2013	1354	1409	1685	1549	1305	1645
MER132	1	5	7	5	1	2	6	1	6	1	1	0	0	0	2	2
UCON15	3	0	7	0	0	2	3	7	1	9	2	0	0	4	0	1
ORSL-2b	244	181	160	246	190	99	198	158	228	128	123	109	79	105	56	124
MER57A-int	1291	1244	1359	1381	1161	747	1432	1207	1562	1065	425	428	407	393	324	375
MamRep1879	321	361	292	314	327	205	392	294	419	260	156	133	219	203	135	153
MER75	196	221	291	280	150	137	205	184	233	154	94	130	157	91	101	119
MSTA	6349	7356	4816	5164	3706	2517	4662	3780	4625	3683	2925	2893	3591	3317	2665	2844
MER4C	346	342	301	365	322	215	407	268	385	275	160	148	154	171	120	155
MER4D	522	576	508	595	485	227	540	446	517	449	256	223	317	329	213	289
(TC)n	3297	3683	3020	3511	3859	2560	3723	3083	3627	3030	1127	1273	1655	1589	1183	1281
Tigger12c	431	399	384	364	368	254	442	382	456	352	286	287	348	310	252	281
L2b	38942	41838	35893	37811	34140	22200	41256	34121	41197	32542	17297	17290	21286	19920	15829	18721
LTR85c	825	947	935	1184	743	459	548	472	562	437	136	116	109	150	120	119
MER58A	3889	3909	4099	4392	3690	2379	4177	3436	4295	3161	2583	2484	3008	2767	2407	2720
(TAGTG)n	1	0	0	0	0	0	2	0	2	0	1	1	1	1	1	1
Zaphod3	247	297	252	325	258	125	266	203	249	206	123	117	150	133	101	169
FAM	1961	1973	2002	1973	1850	1149	2137	1841	2230	1653	1328	1269	1672	1424	1128	1424
Arthur1A	302	318	342	363	206	144	255	217	278	183	116	131	106	114	121	136
(ATGTG)n	1	1	4	0	0	0	2	2	3	1	6	4	9	6	12	3
MLT1H-int	423	398	429	362	502	355	472	385	476	356	167	168	224	180	162	150
L1MC1	7236	7415	8058	8240	7277	4446	7699	6250	8062	5519	3489	3425	4349	4083	3208	3462
LTR41B	572	655	439	424	497	280	493	369	529	311	196	230	239	256	174	213
MER61-int	1324	1337	1416	1436	1370	877	1450	1135	1450	1053	583	583	856	754	567	657
LTR33A_	1154	1368	807	899	713	455	797	674	847	584	236	240	313	254	182	241
MER50B	497	606	502	472	428	288	560	463	536	451	137	147	108	112	80	98
Charlie16a	548	566	522	554	398	256	483	396	454	392	267	290	335	302	259	288
LTR54B	709	709	536	457	549	314	896	724	1010	570	134	149	197	184	114	137
MLT1F	2905	3231	2283	2471	2342	1548	2764	2289	2835	2048	986	920	985	1020	863	990
Charlie5	1328	1120	1535	1701	1070	600	969	688	1003	597	483	499	642	526	450	536
X5A_LINE	12	12	17	13	10	13	21	13	24	9	9	11	12	7	6	12
U1	14	15	14	7	25	10	18	14	21	10	8	9	7	5	5	4
L2	29937	32279	26840	29384	29120	18845	31172	25617	30235	24045	13230	13456	17512	16612	12535	14224
L1M	219	221	198	260	207	152	215	220	250	170	204	241	185	202	186	199
MER126	64	35	44	62	28	16	52	21	55	15	19	22	26	17	32	39
(CATAC)n	6	9	24	1	3	2	9	3	5	6	4	4	5	2	2	1
polypyrimidine	246	264	208	230	260	199	215	194	252	142	126	122	221	196	125	108
LTR13A	402	513	271	306	156	139	428	332	377	339	200	185	274	237	200	242
MER57C2	150	138	90	127	124	64	112	114	130	87	42	59	48	46	51	41
MER4B	779	728	651	769	865	538	756	652	737	599	342	326	422	372	292	372
(CCTAA)n	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	1
MER70A	259	349	199	195	185	127	272	187	264	170	95	85	92	99	53	98
Charlie24	636	523	664	700	480	305	428	369	415	339	232	273	336	312	226	254
X5B_LINE	117	101	233	257	141	50	85	68	103	44	7	9	15	12	8	16
(ACTTG)n	2	1	0	0	0	0	0	1	0	1	0	0	0	0	2	0
(CCAA)n	181	205	115	137	316	236	374	284	295	316	24	19	21	37	13	26
MLT1F1-int	221	202	149	184	135	92	177	146	154	148	129	81	150	114	90	95
MER45C	1049	956	760	872	924	722	1244	1188	1131	1148	1322	1325	1370	1806	1523	1300
G-rich	1729	2042	1484	1771	2068	1508	2089	1672	1905	1615	721	998	781	1010	651	848
MamSINE1	456	464	465	446	394	254	477	393	424	389	306	263	351	350	257	275
HERVK13-int	479	567	523	382	408	271	714	496	564	554	217	235	304	232	314	266
Charlie15a	1108	1021	1080	1191	926	599	1091	881	991	851	450	550	617	592	480	503
LTR3B_	8656	10874	6198	6874	9259	5968	16256	12982	14716	12523	193	192	77	56	96	520
MER102c	1426	1444	1597	1692	1100	674	1310	1005	1249	913	607	584	744	702	589	733
(CTAAT)n	0	0	0	0	0	1	0	0	0	0	1	3	0	3	1	0
MER34A1	289	314	259	269	259	170	210	218	261	146	130	118	175	140	115	137
Tigger15a	2543	2486	2389	2692	1910	1286	2155	1752	2099	1547	1238	1234	1432	1323	1183	1361
MIR	62811	66621	56173	60226	50032	32135	60559	49834	58539	44446	28103	28672	31204	29988	26405	30325
MER102b	1562	1475	1403	1620	1472	927	1703	1480	1775	1210	852	796	885	866	675	904
(CCGAA)n	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
(CGGGA)n	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CheshMITE	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
(CAACG)n	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LTR62	160	211	85	156	134	96	202	110	141	142	79	78	116	95	75	77
MLT1J-int	339	362	328	378	329	216	418	354	409	309	202	183	189	214	118	165
LTR2C	353	450	274	321	258	173	273	219	273	185	51	70	78	68	67	80
(GGATG)n	7	12	3	5	17	15	11	9	5	13	7	6	3	13	7	4
Eulor11	25	16	23	27	19	12	14	12	12	12	2	3	4	1	4	1
(CTTCG)n	0	0	0	0	0	0	0	0	0	0	3	1	0	1	2	0
MLT1J1	1998	2102	1670	1495	1517	960	1672	1323	1491	1266	538	532	553	518	408	534
Ricksha_0	62	66	90	102	90	60	76	57	66	56	62	65	62	63	51	84
(TCGGG)n	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
(CCGAG)n	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
(CTTAG)n	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
(CCCGA)n	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
(ATTCG)n	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
(TTAAG)n	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
AluSx3	15927	16677	16016	17748	16281	10922	15106	12372	13836	11422	7717	7887	9283	10256	7482	8131
L1PA15-16	561	610	627	768	629	393	589	524	553	472	414	378	449	502	253	347
(TAGGG)n	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
(CCGGA)n	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
(TTACG)n	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2
Ricksha	55	57	40	104	81	40	103	61	100	51	59	63	61	50	27	31
U14	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0
(AGTAG)n	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0
(CAGAC)n	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
(CAGGT)n	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0
L1M2b	272	257	381	360	313	184	282	256	208	279	19	29	24	25	25	21
MER113	1044	994	1027	1027	908	553	1034	816	1020	681	572	611	598	666	487	593
(TTTG)n	912	859	1171	1294	1117	620	996	808	1005	656	581	636	680	772	536	610
LTR46	185	238	147	197	133	106	193	144	168	138	49	53	59	44	43	45
MER41A	894	917	835	982	879	518	1177	919	1118	792	605	541	718	714	501	548
MamRep434	742	655	727	809	536	322	670	543	617	484	283	277	269	278	276	326
MLT1M	1266	1397	947	1028	738	428	974	804	946	674	311	322	345	332	253	344
MER76-int	48	59	38	41	25	23	53	24	32	36	50	35	47	53	33	32
MIRb	84618	88598	78980	83562	72549	46364	84348	69975	78686	61543	35517	35854	38437	37453	32231	37988
MamRep605	2195	2127	1759	1862	1501	986	1485	1246	1519	977	637	643	796	705	614	632
(AAGTG)n	0	0	3	1	0	3	0	1	1	0	1	2	0	0	0	0
LTR79	1229	1373	1148	1065	1061	683	1176	1020	1077	910	501	441	453	508	380	446
X7D_LINE	2	1	0	2	0	0	0	2	2	0	5	0	2	2	1	4
MIRc	38244	39041	36897	38243	34102	21378	39975	33434	37934	28302	14934	15636	16635	16248	13760	16425
L1ME5	1630	1515	1831	1631	1601	1005	1469	1213	1433	990	564	561	608	588	476	576
(CGATG)n	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
L1MB7	15011	14299	15148	16497	14307	8447	14949	12382	14011	10470	7198	7115	9004	8437	7324	8111
MER103C	2726	2703	2582	2690	2265	1395	2735	2154	2552	1817	1360	1285	1403	1326	1267	1446
MLT1H1	1812	2076	1660	1795	1415	981	1606	1335	1463	1157	572	614	843	750	458	571
L1MB1	2078	2081	2242	2173	1682	1062	2405	2005	2448	1516	1122	1112	1395	1303	1056	1213
L1MA5	3242	3115	3014	2836	2640	1633	3195	2480	2991	2059	1967	2035	2313	2216	2157	2741
Tigger11a	257	200	214	207	203	130	266	202	223	190	106	105	139	113	113	130
(CACG)n	273	421	248	186	180	160	198	174	163	165	70	67	63	68	46	65
C-rich	6831	9426	5738	6877	9126	6470	7617	6149	6445	5702	2144	2291	2902	2736	1937	2174
UCON29	82	73	71	103	65	51	110	77	136	34	29	30	19	38	20	24
MLT1J	11119	11694	10107	11123	10401	6542	11671	9508	10571	8171	2725	2619	2775	2715	2513	2978
Tigger1a_Mars	6	4	10	19	7	1	5	5	7	2	11	5	4	11	8	8
MER94	1263	1323	1170	993	909	548	1091	869	1033	704	581	620	581	603	499	605
MER87	593	562	433	655	609	405	701	487	524	510	171	195	126	119	126	126
MER65-int	1524	1370	1198	1244	1421	820	2205	1889	2087	1533	242	226	209	212	188	348
LTR33B	792	934	558	533	503	303	670	516	609	434	135	156	168	162	107	182
(GCCTG)n	211	279	134	148	251	169	208	145	154	152	32	32	11	9	8	22
MLT2D	1479	1538	1115	1345	1130	775	1408	1207	1227	1066	574	585	705	725	533	571
L1MA8	5137	4723	5599	6142	5618	3132	5326	4288	4994	3477	1957	1955	2375	2148	1959	2200
MER110	148	165	229	204	196	84	167	108	138	101	79	86	98	93	51	83
MER91C	533	557	364	407	373	241	467	422	447	332	193	205	170	190	168	197
MIR3	36640	37268	32716	35402	30215	19363	35395	29184	31688	24670	13909	14473	15225	15037	12959	15227
MER125	10	23	23	18	10	7	12	11	12	8	11	7	18	14	10	9
MER6A	823	884	534	647	565	376	656	595	569	514	201	255	278	268	174	224
Plat_L3	1186	1131	1105	1214	1072	662	1249	1007	1186	776	586	545	606	608	443	550
(CATAT)n	22	23	27	27	22	16	44	29	30	32	10	11	6	10	2	7
(CTGTG)n	3	7	1	17	4	1	13	7	10	7	5	1	16	17	5	8
LTR89	435	429	307	364	345	221	396	370	386	280	144	160	91	73	119	154
(TTAGGG)n	70	85	66	64	49	35	83	54	66	51	29	16	36	28	11	24
(CGG)n	333	509	499	882	553	470	572	421	418	420	86	111	94	116	128	112
LTR11	2	5	0	3	4	3	3	5	5	2	3	2	6	5	7	3
MER83B	135	170	54	84	46	28	54	48	49	38	14	13	32	22	23	15
(TCTCCC)n	862	997	527	576	741	559	780	625	593	591	223	230	130	178	170	179
(CCCTG)n	169	261	137	155	216	152	172	134	154	106	23	31	28	24	21	21
LTR1	3665	4644	2482	3176	3178	2267	3606	2914	2782	2700	532	572	636	579	474	511
L1M6	1869	1554	2542	2886	2044	1280	2229	1809	2062	1378	966	901	1034	1023	762	962
MLT1K	6916	7353	5944	6361	5872	3912	7294	6229	6390	5047	2394	2361	2648	2463	2057	2483
MLT1B-int	697	713	686	629	747	422	682	578	595	466	153	140	137	136	97	164
LTR9	2387	2721	2097	2164	1860	1205	1981	1684	1724	1360	448	428	505	516	331	427
