Gene	WT_RNA_Rep1	WT_RNA_Rep2	WT_RNA_Rep3	Null_RNA_Rep1	Null_RNA_Rep2	Null_RNA_Rep3
DCHS1	2236	828	983	3082	2609	987
TPP1	1631	1644	2032	1566	1284	915
TAF10	2158	1759	2456	2484	2448	2012
ILK	297	258	261	367	418	205
RRP8	457	453	444	678	779	527
DNHD1	365	597	397	264	180	113
LOC644169	34	42	17	24	19	8
TIMM10B	1317	898	1157	1742	1557	966
ARFIP2	1716	1210	1672	2107	2150	1522
TRIM3	331	271	300	289	284	228
HPX	10	9	11	54	130	62
APBB1	2166	1589	1886	1612	1617	1318
SMPD1	234	179	200	546	879	488
LOC124902624	3	3	9	5	2	2
LOC124902623	0	0	0	0	0	0
LOC101927825	26	38	30	74	59	16
CAVIN3	178	108	126	745	620	340
CCKBR	765	288	497	1159	1183	617
CNGA4	20	27	22	47	24	13
FHIP1B	892	652	829	1104	949	680
C11orf42	3	8	2	3	4	1
OR52W1	2	0	0	1	0	0
OR52B2	0	0	0	0	0	1
OR52B1P	0	0	0	0	0	0
OR56B3P	0	1	0	0	0	0
OR56B4	4	2	6	6	4	6
LOC124902622	1	0	0	2	1	0
OR52X1P	0	0	0	1	0	0
OR52L2P	0	0	0	0	0	0
OR56A7P	0	0	0	0	0	0
LOC107984303	0	0	0	0	0	0
OR56A1	0	0	0	0	0	0
RNA5SP329	0	0	0	0	0	0
OR56A4	0	0	0	0	1	0
KRT18P58	0	0	0	0	0	0
OR52L1	0	0	0	1	0	0
LOC124902621	0	0	0	0	0	0
OR56A5	0	0	0	0	0	0
OR56A3	0	0	1	0	0	0
OR52Q1P	0	0	0	0	0	0
OR52E5	0	0	0	0	0	0
LOC112268071	4	0	5	0	2	1
OR52E4	0	0	0	0	0	0
OR52E7P	0	0	0	0	0	0
OR52E8	0	0	0	0	0	0
OR52E6	0	0	0	0	0	0
OR52N2	0	0	0	1	2	1
OR52N3P	0	0	0	0	0	0
OR52N1	0	0	0	1	0	0
OR52N5	0	0	0	0	0	0
OR56B2P	0	0	0	0	0	0
OR56B1	0	0	1	0	0	0
OR52P1	0	0	0	0	0	0
OR52N4	1	1	1	0	0	0
OR52U1P	0	0	0	1	0	0
LOC124902620	0	0	0	2	0	0
TRIM22	502	305	361	408	321	127
LOC107984302	2	0	0	0	0	0
TRIM34	0	1	0	1	0	0
TRIM6-TRIM34	0	0	0	0	0	0
TRIM6	263	266	453	877	823	454
TRIM5	402	391	494	653	592	313
OR52B6	0	0	0	0	0	0
HNRNPA1P53	3	5	3	8	2	3
OR52T1P	0	0	0	0	0	0
OR52B5P	0	0	0	0	0	0
OR52H2P	0	0	0	0	0	0
OR52H1	0	0	0	0	0	0
OR52V1P	0	2	0	0	0	0
OLFM5P	3	1	1	0	1	2
UBQLNL	2	2	1	2	1	2
UBQLN3	0	0	0	0	0	0
OR52D1	0	0	0	0	0	0
OR51A10P	0	0	0	0	0	0
OR51I2	0	0	0	0	0	0
OR51I1	0	0	0	0	0	0
OR51K1P	0	0	0	1	0	0
OR51Q1	0	0	0	2	1	0
OR51J1	6	4	1	11	11	3
OR51M1	2	1	0	2	4	2
LOC100288935	0	0	0	0	0	0
LOC100418885	0	0	0	0	0	0
OR51B6	0	0	0	0	0	0
OR51B5	2	0	1	2	2	2
OR51B8P	0	0	0	0	0	0
OR51B2	0	0	0	0	0	0
OR51B3P	0	0	0	0	0	0
OR51B4	0	0	2	0	0	0
OR51AB1P	0	0	0	0	0	0
HBE1	2	2	0	5	2	4
HBG2	1	0	1	14	11	12
HBG1	1	0	0	10	8	7
BGLT3	0	0	0	0	0	0
HBBP1	0	0	0	0	0	0
HBD	0	0	0	0	0	0
HBB	0	0	0	0	0	0
OR51V1	0	0	0	0	0	0
OR52Z1P	0	0	0	0	0	0
OR51A1P	0	0	0	0	0	0
OR52A1	22	14	15	16	11	5
OR52A5	0	0	0	0	0	0
OR51A5P	0	0	0	0	0	0
OR51A2	0	0	0	0	0	0
OR51A4	0	0	0	0	0	0
OR51A3P	0	0	0	0	0	0
OR51G1	0	0	0	0	0	0
OR51G2	0	0	0	0	0	0
OR51A7	0	0	0	0	0	0
OR51A6P	0	0	0	0	0	0
OR51T1	0	0	0	0	0	0
OR51H2P	0	0	0	0	0	0
OR51H1	0	0	0	0	0	0
OR51S1	0	0	0	0	0	0
OR51A8P	0	0	0	0	0	0
OR51F2	0	0	0	0	0	0
OR52R1	0	0	0	0	0	0
OR52Y1P	0	0	0	0	0	0
OR51N1P	0	0	0	0	0	0
OR51F1	0	0	0	0	0	0
LOC124900304	0	0	0	0	0	0
OR51F4P	0	0	0	0	0	0
OR51F3P	0	0	0	0	0	0
KRT8P49	1	1	0	2	3	0
OR51C4P	0	0	0	0	0	0
OR51F5P	0	0	0	0	0	0
MMP26	0	0	0	0	0	0
OR51C1P	0	0	0	0	0	0
OR51E2	0	0	0	0	0	0
LOC105376528	0	0	0	0	0	0
OR51A9P	0	0	0	0	0	0
OR51E1	0	0	0	0	0	0
OR51D1	0	0	0	0	0	0
TRIM68	432	439	442	329	314	199
OR52I1	0	0	1	1	1	0
OR52I2	0	0	0	0	0	0
C11orf40	0	0	0	0	0	0
OR52M1	0	0	0	0	0	0
OR52M2P	0	0	0	0	0	0
OR52K1	0	0	0	0	0	0
OR52K3P	0	1	0	0	1	1
OR52K2	0	0	0	0	0	0
OR52P2P	0	0	0	0	0	0
OR51R1P	0	0	0	0	0	0
TRIM21	401	452	582	620	583	492
OR52B3P	0	0	0	0	0	0
OR52B4	1	0	0	0	0	0
SSU72P7	0	0	0	0	0	0
SSU72P3	0	0	0	2	1	0
SSU72P4	0	0	0	0	0	0
SSU72P6	0	0	0	0	0	0
SSU72P2	0	0	0	0	0	0
SSU72P5	0	0	0	0	1	0
RDXP1	16	13	3	13	22	4
LINC02749	7	11	8	4	5	10
OR55B1P	0	1	0	0	0	0
RRM1	6669	5356	7155	5643	5027	3421
RPS29P20	0	0	0	0	0	0
HMGN1P21	223	190	270	289	243	151
HNRNPA1P76	2	2	3	1	2	1
PPIAP40	54	37	56	97	73	26
MIR4687	0	0	0	0	0	0
STIM1	1062	1050	1106	1084	1079	666
STIM1-AS1	5	5	2	3	2	3
LOC124902619	0	1	1	0	0	0
RHOG	708	561	859	1270	1369	961
LOC124902618	0	1	0	0	1	1
PGAP2	1120	882	1333	933	874	683
RNU7-50P	0	0	0	0	0	0
RNU6-1143P	0	0	0	0	0	0
LOC124902832	0	1	0	0	0	0
NUP98	5341	3924	4082	6032	5558	3068
CHRNA10	10	10	18	50	74	60
ART1	2	2	1	5	25	1
ART5	254	237	308	206	1019	1187
TRPC2	1	0	0	1	5	0
XNDC1CP	0	0	0	2	0	1
LOC124902617	0	1	0	0	3	0
OR7E117P	0	0	0	0	2	2
RPS24P14	0	0	0	0	0	0
LOC107987159	7	13	17	34	42	12
RPS3AP39	0	0	0	0	1	0
SNRPCP5	0	1	0	0	2	0
LOC107984301	11	5	2	55	99	25
LOC101927708	2	2	0	10	10	3
LOC105376526	10	6	12	64	68	24
LOC124902616	2	0	2	1	0	0
FAM86GP	357	308	376	352	250	594
OR7E12P	60	39	31	53	45	30
TSSC2	150	110	79	90	73	139
ZNF195	1374	1041	1042	1907	1618	846
VN1R56P	0	1	0	2	1	0
NDUFA5P1	0	0	0	6	0	0
NDUFA5P8	0	0	0	6	0	0
MRGPRE	0	0	3	5	9	6
MRGPRG-AS1	9	11	29	4	4	7
MRGPRG	0	2	0	1	1	0
OSBPL5	783	557	653	805	545	491
LOC124902615	29	26	29	6	3	5
KCNQ1OT1	159	108	106	308	137	71
LOC124902613	0	0	0	0	0	0
TRPM5	4	2	1	2	2	2
TSSC4	908	673	797	1274	1463	1065
CD81	5565	4815	6646	11161	11656	9388
LOC105376520	6	2	3	9	5	1
LOC124902611	4	4	3	5	11	10
RPL26P30	120	149	190	174	160	157
CD81-AS1	9	6	9	6	1	2
RNU6-878P	0	0	0	0	0	0
LOC124902612	8	6	11	3	4	2
TSPAN32	13	5	11	4	3	8
C11orf21	0	0	0	0	4	6
ASCL2	17	17	10	5	17	16
MIR4686	0	0	0	0	0	0
TH	4	16	1	7	7	7
INS	0	0	0	0	0	0
IGF2-AS	1	6	1	4	13	8
MIR483	0	0	0	0	0	0
IGF2	6	23	2	36	226	87
INS-IGF2	0	0	0	0	0	0
LOC390029	0	0	0	2	0	0
RPL36AP39	0	0	0	0	0	1
LOC124902610	0	0	0	0	0	0
LOC105376517	0	0	1	1	0	0
CTSD	8494	5943	7556	11602	11382	8016
LOC124902609	0	0	0	0	0	1
LOC124902608	0	0	0	0	0	0
LOC124902606	21	14	11	17	10	20
MIR6744	0	0	0	0	0	0
MUC5B-AS1	0	0	0	0	0	0
MUC5B	13	8	9	9	19	19
LOC124902605	2	1	2	3	1	0
LOC124902604	0	0	0	0	0	0
CHID1	2196	1728	2139	2436	2398	1898
TSPAN4	1050	745	1020	1107	1112	870
POLR2L	2362	1630	2421	3726	3806	3105
CD151	1966	2154	2521	2509	2937	2218
CRACR2B	146	156	225	169	184	176
PNPLA2	945	668	1006	1101	984	911
SNORA52	17	13	23	33	23	34
RPLP2	15119	14901	20835	16723	18550	15743
PIDD1	752	642	818	525	441	376
PANO1	11	7	8	18	16	8
SLC25A22	1316	783	964	1298	1238	837
CEND1	357	91	193	320	194	257
LOC124900301	149	162	195	130	90	92
GATD1-DT	46	59	59	26	23	15
GATD1	1774	1483	1736	1428	982	791
TALDO1	4752	3722	5879	8621	8969	7057
LOC105376509	0	0	2	1	1	0
EPS8L2	329	362	489	759	813	582
TMEM80	415	337	446	372	339	242
LOC124902603	8	1	8	2	1	3
LOC124902805	2	1	1	0	2	2
RN7SL838P	0	0	0	0	0	0
LOC105376506	2	1	4	2	1	0
ANO9	34	22	83	94	68	76
SIGIRR	388	381	544	614	695	622
PKP3	26	27	32	354	853	844
B4GALNT4	2412	1419	1882	1537	1073	940
IFITM3	6352	8027	9261	13727	16600	15156
LOC105376505	21	22	23	44	27	21
IFITM1	6252	8997	8997	26314	24966	21972
IFITM2	2585	2625	3671	4664	4794	4264
MRPS24P1	1	0	0	1	0	0
IFITM5	2	1	0	4	2	1
PGGHG	929	803	1172	834	597	624
NLRP6	2	3	3	5	4	4
COX8BP	2	1	0	2	2	1
LOC100420679	18	15	18	22	11	6
PSMD13	5254	5000	6631	7810	7805	6450
SIRT3	696	679	786	502	416	359
MIR6743	0	0	0	0	0	0
RIC8A	2986	1975	2418	4005	4385	2645
BET1L	1390	1179	1301	1956	2091	1485
ODF3	0	0	0	0	0	0
SCGB1C1	0	0	0	0	0	0
LOC101930129	35	27	30	35	21	11
RNU6-447P	0	0	0	0	0	0
LOC112268070	181	239	114	270	129	28
LINC01001	1172	972	1225	2331	1359	631
CICP23	41	24	27	105	56	20
SEPTIN14P11	40	32	31	101	63	17
OR4F2P	0	0	0	1	0	0
WBP1LP10	0	0	0	0	0	0
RPL23AP60	40	34	49	45	35	36
DUX4L15	1	0	0	1	0	0
DUX4L14	1	0	0	1	0	0
DUX4L13	1	1	0	1	1	0
DUX4L12	0	0	0	1	0	0
DUX4L11	0	0	0	0	0	0
DUX4L10	1	0	0	0	0	0
DUX4L29	0	0	0	0	0	0
DUX4L20	1	0	0	0	0	0
DUX4L21	1	1	1	1	0	0
DUX4L22	1	0	0	2	0	0
DUX4L23	0	1	0	0	0	0
DUX4L24	0	0	1	0	1	0
DUX4L25	0	1	0	2	1	0
DUX4L28	0	0	0	0	0	0
CLUHP5	2	1	0	0	0	0
AGGF1P2	1	3	0	1	1	2
RARRES2P2	1	1	1	5	8	0
FRG2B	0	0	0	5	7	1
OR6L1P	0	0	0	1	0	0
SPRNP1	1	1	0	0	0	3
SYCE1	0	0	0	0	1	0
CYP2E1	1	0	2	19	44	93
LOC124902569	0	0	0	0	0	0
LOC105378575	1	0	0	5	5	2
OR7M1P	1	2	0	1	0	0
SCART1	4	4	3	12	9	16
OR6L2P	0	0	0	1	0	0
LOC124902564	0	0	0	2	1	0
SPRN	7	5	1	9	12	2
MTG1	1809	1407	1774	2275	2110	1529
PAOX	135	104	126	92	95	76
LOC124902563	4	4	6	1	2	0
MIR3944	0	1	0	2	2	1
ECHS1	3545	2742	3946	4077	3956	3013
FUOM	371	326	356	556	591	454
PRAP1	0	1	0	1	1	1
BANF1P2	4	12	11	13	12	9
CALY	36	12	39	25	27	43
ZNF511	355	289	451	334	386	270
ZNF511-PRAP1	0	0	0	0	0	0
LOC124902562	1	8	9	0	0	2
TUBGCP2	2523	1917	2408	3297	3395	2288
ADAM8	77	96	147	73	59	98
MIR202	0	0	0	0	0	0
MIR202HG	0	0	0	1	1	2
VENTX	146	186	211	712	707	512
UTF1	65	69	113	986	1531	923
LOC105378573	6	4	11	12	10	5
LOC105378574	4	0	1	2	5	2
KNDC1	1002	644	907	589	405	380
RPL5P28	0	1	1	2	0	0
ADGRA1	25	10	15	3	14	8
ADGRA1-AS1	0	0	0	0	0	0
LOC112268067	2	1	1	0	0	0
LOC107984283	0	0	0	0	0	0
LOC124902527	0	0	0	1	0	1
LINC01168	0	0	0	1	0	0
LINC01167	0	0	0	0	0	0
LINC01166	0	0	0	0	0	0
LOC105378572	0	0	0	0	0	0
LOC105378571	0	0	0	1	1	0
CFAP46	169	86	142	122	151	93
NKX6-2	29	13	24	6	4	10
INPP5A	694	552	758	969	1029	679
LOC107984282	14	14	20	13	16	5
LOC105378569	2	1	1	0	0	1
LINC02870	3	1	3	14	16	21
LOC105378568	8	2	5	7	24	11
PWWP2B	289	160	259	318	305	242
LOC124902526	11	7	8	11	7	3
LRRC27	248	281	292	148	129	101
STK32C	474	486	654	391	336	359
DPYSL4	658	552	427	1601	1367	878
JAKMIP3-AS1	7	5	0	10	3	2
JAKMIP3	72	65	68	231	130	85
LOC124902525	3	0	0	14	10	9
BNIP3	2023	5217	4890	2781	2714	2367
PPP2R2D	1176	1234	1294	1429	1315	916
LOC100134362	3	5	10	1	3	1
LOC105378566	0	0	0	0	0	0
LOC105378565	0	0	0	0	0	0
LINC01164	2	3	0	3	2	3
LOC101927461	12	3	8	2	5	0
LOC105378563	1	0	0	0	1	0
TCERG1L-AS1	0	1	0	5	6	4
TCERG1L	309	103	182	279	287	144
LOC107984186	0	0	0	1	3	0
MIR378C	0	0	0	0	0	0
LOC105378562	0	0	0	0	0	0
LOC124900609	2	0	1	6	2	1
LOC100419870	0	0	1	0	0	0
LOC124902561	25	7	14	39	37	14
GLRX3	2732	2494	3273	4399	3977	2728
LOC105378561	4	3	9	2	3	0
LOC124902560	0	0	2	0	0	0
LOC102724883	10	15	18	4	5	5
CTAGE7P	18	21	31	13	15	4
C10orf143	99	102	97	73	58	41
EBF3-AS1	1	0	0	0	0	0
MIR4297	0	0	0	0	0	0
EBF3	28	32	32	42	73	21
LOC107984281	1	1	0	4	0	0
LOC105378560	0	0	1	0	0	0
LOC124902531	0	0	0	0	0	0
MGMT	277	252	262	160	193	169
LOC105378557	0	0	0	0	0	0
LOC105378556	0	0	0	0	0	0
LOC124902559	0	0	0	0	0	0
LINC02667	0	0	0	0	0	0
LOC105378555	0	0	0	0	0	0
LOC107984185	0	0	0	0	0	0
LOC105378554	0	0	0	0	0	0
LOC124902558	0	0	0	0	0	0
LINC01163	2	0	0	3	1	1
MKI67	11291	7893	4890	10396	7318	2789
AS-PTPRE	0	0	0	1	1	1
LOC124902557	0	0	0	0	0	0
PTPRE	30	50	42	26	49	22
CLRN3	0	0	0	0	0	0
BUB1P1	0	0	0	0	0	0
FOXI2	18	9	26	187	111	60
NPS	1	0	0	0	0	0
LOC124902524	2	1	9	3	3	1
LOC105378551	1	3	1	1	7	0
INSYN2A	12	11	6	43	37	9
LOC105378552	0	0	0	0	0	0
LOC107984059	0	0	0	0	0	0
LOC124900289	33	17	26	34	35	14
DOCK1	3285	2955	2263	2804	2481	1051
LOC105378550	184	182	197	222	128	65
LOC124900294	0	0	0	0	0	0
LOC105378548	0	0	0	0	0	0
LOC124902523	0	0	0	0	0	0
LOC105378549	0	0	0	0	1	0
LOC728158	0	0	0	0	0	0
C10orf90	2	1	0	23	30	9
LOC112267914	0	0	0	1	0	0
LINC00601	0	0	0	0	0	0
SAR1AP2	1	0	0	0	0	1
RNA5SP328	0	0	0	0	0	0
ADAM12	229	275	38	40	148	39
FANK1-AS1	0	0	0	0	0	0
GNG10P1	0	0	0	0	0	0
FANK1	63	92	88	35	35	36
RNU2-42P	0	0	0	0	0	0
DHX32	1371	1452	1410	1180	1012	665
BCCIP	3031	2536	2971	4585	4110	3042
MIR4484	0	0	1	0	0	0
UROS	1764	1362	1650	1470	1232	880
MMP21	0	0	0	1	0	1
EDRF1-AS1	8	8	6	3	4	3
EDRF1	1221	1110	894	1437	1225	594
EDRF1-DT	6	2	7	3	1	0
LOC283038	1	1	4	1	1	1
ALDOAP2	2	1	0	0	1	0
LOC102724793	0	0	0	0	0	0
TEX36	0	0	0	1	0	0
TEX36-AS1	0	0	0	0	0	0
LOC124902522	0	0	0	0	0	0
LOC105378545	0	0	0	0	0	0
LOC105378544	0	0	0	2	1	0
LOC124902521	0	0	0	0	0	0
RPS27P18	0	0	0	0	0	0
LOC105378543	0	1	0	0	0	0
LOC105378542	0	0	0	0	0	1
LOC105378541	0	0	0	1	1	1
MRPS21P6	0	0	0	0	1	0
MIR4296	0	0	0	0	0	0
LOC124902520	12	6	10	20	16	3
CTBP2	5199	4233	4709	6699	5835	3496
ZRANB1	776	771	676	834	821	445
NPM1P31	0	1	4	1	2	0
ABRAXAS2	630	634	648	571	645	377
EEF1AKMT2	536	537	618	668	496	312
FAM53B-AS1	1	1	2	0	1	0
FAM53B	1283	948	975	1135	1045	620
RPS10P18	1	2	0	2	1	0
LHPP	656	612	829	313	242	248
NKX1-2	535	430	366	2674	3369	2078
OATP1	0	0	0	1	1	1
OAT	2696	2310	3551	6093	7147	4654
LOC107984184	0	0	0	0	0	0
CHST15	892	652	831	1340	1282	786
YBX2P1	0	0	1	0	0	0
LOC107984128	29	18	44	25	44	18
LOC105378534	1	0	0	0	0	0
LOC105378533	0	0	0	0	0	0
CPXM2	241	159	368	208	169	123
LOC105378532	4	4	4	0	6	0
GPR26	10	3	6	4	5	1
LOC105378530	0	0	0	0	0	0
LINC02641	30	26	16	5	3	4
LOC107984275	9	9	11	13	3	9
RPS26P39	2	0	1	3	0	1
BUB3	4662	3704	4277	5094	4373	2947
HMX2	5	2	8	3	13	3
HMX3	5	0	8	3	4	4
ACADSB	684	384	451	884	572	372
IKZF5	430	338	358	391	386	164
PSTK	207	146	209	161	120	86
LOC124902519	54	44	14	82	58	24
C10orf88	449	389	465	337	287	179
FAM24A	0	0	0	0	3	0
C10orf88B	12	12	16	10	8	8
FAM24B	0	1	1	4	7	3
CUZD1	0	0	0	0	0	0
FAM24B-CUZD1	0	0	0	0	0	0
LOC124900290	0	0	0	0	0	0
DMBT1L1	0	0	0	0	0	0
C10orf120	0	0	0	0	0	0
LOC112577516	0	0	0	0	1	0
DMBT1	6	1	0	8	10	3
HTRA1	472	276	426	306	1028	431
ARMS2	0	0	0	0	0	0
LOC105378525	4	0	0	2	3	1
MIR3941	0	0	0	0	0	0
PLEKHA1	1235	981	878	1241	1035	443
RNU6-728P	0	0	0	0	0	0
BTBD16	2	0	2	1	0	0
LOC124902518	10	5	5	8	9	4
TACC2	1831	973	1184	2167	1655	1104
LOC124902517	13	21	14	8	4	3
NSMCE4A	1511	1356	1724	1235	1033	862
ATE1-AS1	8	4	5	10	10	3
ATE1	689	657	588	888	911	378
RPS15AP5	3	1	3	2	6	3
LOC107984183	0	0	0	0	0	0
FGFR2	5103	3007	4524	3295	2757	1850
RN7SKP167	0	0	0	0	0	0
LOC105378523	3	0	0	1	0	0
LINC01153	0	0	0	0	0	0
RPL19P16	3	3	3	1	2	2
LOC105378522	0	0	0	0	0	0
LOC124902515	0	0	0	0	1	0
LOC124902516	0	0	0	2	20	2
LOC105378521	0	0	0	0	0	0
LOC105378520	0	0	0	0	0	0
LOC105378519	0	0	0	0	0	0
WDR11	2189	2132	1950	2241	1909	1096
WDR11-DT	5	11	15	4	4	3
LINC02930	3	3	3	1	2	3
LINC01561	0	0	0	1	3	0
PLPP4	2	1	6	31	155	38
RPL21P16	9793	8837	12869	9297	9141	7177
LOC105378515	0	0	0	0	0	0
LOC124902514	0	0	0	1	10	2
NACAP2	0	0	0	1	0	0
MIR4682	0	0	0	0	0	0
SEC23IP	2149	1684	1709	2859	2556	1319
MCMBP	4083	3138	3578	4790	4160	2627
PHACTR2P1	3	3	0	4	3	1
LOC105378513	0	3	3	1	2	0
RN7SL846P	0	0	0	0	0	0
INPP5F	771	831	733	873	782	667
TXNP1	1	0	1	0	0	0
LOC124902513	0	1	3	1	0	1
BAG3	543	544	709	1535	2161	1392
RPS8P4	0	0	0	0	0	0
RAD1P1	0	0	0	0	0	0
LOC105378512	33	14	8	104	58	19
TIAL1	2462	2341	2998	3337	3083	2070
RGS10	213	166	323	151	191	210
MIR4681	0	0	0	0	0	0
LOC105378511	0	0	0	0	0	0
RN7SL749P	0	2	1	2	4	1
GRK5	134	161	189	229	242	179
PRDX3	6050	5399	7002	7972	6981	4666
SFXN4	638	558	777	833	829	655
DENND10	1862	1556	1989	1419	1155	808
LOC124900296	0	0	0	0	0	0
SNORA19	0	0	0	0	2	0
EIF3A	12657	11638	10505	15757	14000	6837
NANOS1	221	184	239	120	129	77
LOC124902512	0	3	2	1	0	1
LDHAP5	1	1	2	2	0	2
RPL17P36	9	12	41	9	14	11
LOC124902511	0	0	0	0	0	0
LOC107987151	0	0	0	0	0	0
CACUL1	1079	981	1044	1210	996	641
TOMM22P5	1	1	2	1	3	3
PRLHR	3	1	0	1	1	0
SLC25A18P1	0	0	0	0	0	0
LOC105378507	0	0	0	0	0	0
LINC00867	2	2	0	1	0	0
FAM204A	700	638	701	788	712	452
LINC02944	3	2	6	0	3	1
CASC2	32	28	21	11	9	4
RAB11FIP2	610	583	426	783	594	209
LOC105378504	0	0	1	1	0	0
LINC02674	0	0	0	0	0	0
LOC124902556	0	0	0	1	0	0
LOC107984274	0	0	0	0	0	0
LOC124902555	0	0	0	0	0	0
EMX2	35	6	13	2	1	2
EMX2OS	35	3	18	2	7	2
LOC105378502	1	0	0	1	1	2
PDZD8	984	915	760	1502	1291	547
SLC18A2	22	17	23	8	17	18
SLC18A2-AS1	1	0	0	0	0	0
KCNK18	0	0	0	0	0	0
RPL12P26	0	0	0	0	0	0
MIR3663	0	0	0	0	0	0
MIR3663HG	0	0	0	1	0	0
VAX1	1	0	0	13	15	10
SHTN1	648	551	578	855	767	389
ENO4	28	26	18	4	5	9
MIR9851	2	0	7	1	1	2
LOC124902510	0	0	0	0	0	0
PNLIPP1	0	0	0	0	0	0
PNLIP	0	2	0	1	0	0
RNU6-1090P	0	0	0	0	0	0
HMGB3P8	0	0	0	0	0	0
PNLIPRP3	0	0	0	0	0	0
SNRPGP6	0	0	0	0	0	0
CCDC172	37	35	58	152	68	70
LOC107984273	0	1	5	1	1	1
SNORD158	0	0	0	0	0	0
GFRA1	588	131	379	145	100	37
LOC105378497	0	0	0	0	0	0
NTAN1P1	0	0	0	0	0	0
ATRNL1	180	148	186	224	269	141
LOC105378496	0	0	0	0	0	0
LOC124902509	0	0	0	0	0	0
LOC107984272	0	0	0	0	0	0
LINC02626	0	0	0	1	0	0
RNU6-1121P	0	0	0	2	0	0
TRUB1	639	651	649	852	869	383
RPL15P13	3	3	14	1	3	2
FHIP2A	431	474	416	574	530	191
TAF9BP2	0	0	0	0	0	0
LOC124902508	3	6	5	7	3	2
LOC101927692	0	0	0	0	0	0
PPIAP19	45	11	8	157	75	26
LOC124902588	0	0	0	0	0	0
ABLIM1	3159	2711	2337	3367	3293	1361
RN7SL384P	0	0	0	0	0	0
LOC105378494	0	0	0	0	2	4
AFAP1L2	267	227	370	118	485	262
AURKAP2	0	0	0	2	1	0
VWA2	32	23	20	61	70	31
TDRD1	1	0	5	81	179	106
MIR2110	0	0	0	0	0	0
CCDC186	379	393	252	486	511	156
UBE2V1P5	0	0	0	0	0	0
RNU6-709P	0	0	0	0	0	0
LOC124902554	0	0	0	0	0	0
ADRB1	1	3	8	5	2	2
LOC105378493	0	0	0	0	0	0
LOC105378492	0	0	0	0	0	0
LOC124902507	0	0	0	0	0	0
LOC124902506	4	1	5	1	2	1
NHLRC2	953	1190	793	1133	759	318
DCLRE1A	1135	1043	876	928	680	458
LOC124900297	0	0	0	0	0	0
MIR4483	0	0	0	0	0	0
PLEKHS1	1	1	0	0	2	0
LOC124902505	1	0	0	1	2	1
CASP7	303	313	324	241	224	185
NRAP	5	1	1	3	2	1
HABP2	9	20	10	13	22	24
LOC124902504	0	0	0	0	0	0
PPIAP39	0	0	0	0	0	0
LOC107984270	0	0	0	0	0	0
RNU7-165P	0	0	0	0	0	0
LOC105378490	0	0	0	0	0	0
SNORA87	0	0	0	0	1	1
RPS15AP30	0	0	0	0	1	0
LOC124902502	7	6	5	3	10	3
TCF7L2	1038	656	1041	1272	918	432
LINC02935	1	6	0	1	0	0
LOC103344931	93	78	109	78	71	40
MIR4295	0	0	0	0	0	0
LOC124902503	0	0	2	6	5	2
VTI1A	533	421	489	593	519	382
ZDHHC6	1235	914	1335	1579	1494	915
ACSL5	1	3	6	5	7	3
GUCY2GP	0	0	0	0	0	0
MIR6715B	0	0	0	0	0	0
MIR6715A	0	0	0	0	0	0
TECTB	0	0	0	0	0	0
GPAM	852	720	589	917	814	335
LOC107984268	0	0	0	0	0	0
LOC124902501	0	0	0	0	0	0
RPS6P15	1	0	0	0	0	0
LOC105378485	0	0	0	0	0	0
LOC105378484	0	0	0	0	0	0
BTBD7P2	0	0	0	0	0	0
HEAT2	0	0	0	0	0	0
LOC724065	0	0	0	0	0	0
ADRA2A	140	52	164	166	148	74
MIR548E	0	0	0	0	0	0
RPL13AP6	10	5	7	7	10	7
SHOC2	787	731	600	907	826	336
BBIP1	272	312	356	234	197	169
MIR4680	0	0	0	0	0	0
PDCD4	650	751	763	422	386	202
PDCD4-AS1	61	73	105	38	25	22
LOC124902500	0	0	0	0	0	0
LOC124902499	0	0	0	0	0	1
RNA5SP327	0	0	0	0	0	0
RN7SKP288	0	0	0	0	0	0
LOC124902498	0	0	0	0	0	0
RBM20	109	175	112	235	217	138
LOC124902586	0	0	0	0	0	0
SMC3	5500	4338	2834	5330	4122	1682
LOC105378483	4	1	5	5	0	0
RPL7P35	0	0	0	0	0	0
DUSP5	351	394	453	1945	2615	1650
DUSP5-DT	0	0	0	0	2	1
HMGB3P5	0	0	0	0	0	1
LOC105378482	0	0	0	1	0	0
SMNDC1	1250	1162	1369	1595	1512	830
LOC105378480	2	8	0	2	2	0
MXI1	401	888	614	396	381	243
LOC105378479	1	0	0	0	1	1
SNRPGP12	0	0	0	0	0	0
ADD3	3253	3627	2504	2754	2504	1108
ADD3-AS1	5	2	8	6	6	3
RNU4-5P	1	0	0	0	0	0
XPNPEP1	2351	2402	2489	2413	2287	1563
RPL21P91	0	0	0	0	0	0
XIAPP1	5	8	2	21	18	5
BTF3P15	0	0	0	0	0	0
PHB2P1	0	0	0	0	0	0
LOC107984182	0	0	0	1	0	0
RNU6-839P	0	0	0	0	0	0
RNU5B-6P	0	0	0	0	0	0
RN7SKP278	0	0	0	0	0	0
MAPKAPK5P1	0	0	0	0	0	0
LINC02661	0	0	0	0	0	0
LOC105378477	1	0	2	0	0	1
PTGES3P5	0	0	0	0	0	0
LOC105378476	0	0	0	0	0	0
LINC01435	0	0	0	0	0	0
LOC101927573	0	0	0	0	0	0
RNA5SP326	0	0	0	0	0	0
LOC105378474	0	0	0	0	0	0
LOC105378475	0	0	0	0	0	0
