Gene	  Oocyte	 Zygote	2cell 	4cell 	8cell 	Morulae	Trophectoderm	Primitive 	epiblast	hESC p0	hESC passage10
CABYR	30.014	46.784	30.975	72.078	60.874	34.497	0.429	0.1	9.263	8.148	4.173
GOLGA6L1	0.252	0.254	0.374	0.7	1.579	1.353	0.53	0.117	0.531	0.664	0.763
BCL7B	8.753	4.509	2.664	5.309	5.102	12.885	13.058	22.283	4.217	11.774	9.836
LOC339929	0.043	0.254	0.312	0.077	0.238	0.572	0.056	0	0	0.011	0.052
HSPA7	0	0	0	0.013	0.088	0.035	0	0.79	0	0	0.006
PCDHGA11	0	0	0	0	0.028	0.116	0.01	0	0.103	0.033	0.313
NUDT13	0	0	0	0	2.39	2.348	0.639	0.552	0	0.502	1.803
C1orf53	10.821	1.598	1.328	0.301	0.081	0.275	0.46	0	3.521	2.923	3.111
MT1F	44.384	62.317	44.999	20.729	27.053	0.1	1.927	51.455	25.751	130.587	43.714
TOMM5	39.312	67.835	91.921	107.897	172.082	223.332	192.37	204.499	105.196	85.844	188.816
ARL6IP4	1.568	2.103	1.183	1.76	1.305	3.832	13.215	72.56	37.099	62.09	107.472
RPL35A	297.81	394.001	550.16	730.778	1032.943	1016.684	1155.218	1918.117	1429.792	1205.191	2528.151
CCDC157	0.325	0.537	0.48	0.713	1.194	0.687	0	0.931	0	0.066	0.679
C2orf68	1.989	2.791	2.461	1.185	2.378	1.485	2.134	1.401	1.797	6.02	3.765
EMR3	0	0	0	0	0.034	0	0	0	0	0	0
RAB40C	0.426	3.527	2.846	3.301	1.476	1.552	0.37	3.427	3.017	1.856	4.08
SLC41A1	8.618	12.417	8.785	14.944	6.545	9.943	0.154	0.769	4.411	7.127	3.752
LRCH1	11.825	13.612	9.711	16.241	1.958	2.613	2.325	7.011	0.618	1.719	0.985
LY6G5B	0.043	0.058	0.133	1.442	3.417	2.035	0.67	0	0	2.629	1.26
FAM124A	0.916	1.803	0.954	2.25	0.155	0.052	0	0.448	2.654	4.352	6.061
CLIP3	2.899	4.093	3.515	13.273	4.616	0.933	0.013	0	0	14.921	19.734
MAP4K2	1.386	1.833	1.421	1.597	4.647	12.793	2.477	5.811	7.09	1.284	2.86
CHIC1	6.063	5.29	4.463	5.428	1.14	0.311	0	0	0	2.236	0.827
SULF1	0	0	0	0.015	0.144	0	0	0	0	0.284	0.118
C20orf30	54.858	35.889	22.311	28.143	22.032	63.589	97.321	86.671	74.205	74.393	81.14
C11orf48	8.826	4.764	4.022	8.016	99.685	282.148	135.214	123.164	95.739	99.829	92.436
ELOVL1	0.939	3.814	2.988	6.542	2.998	22.473	39.949	34.619	5.89	11.218	15.126
PRDM5	0.19	0.21	0.067	0.642	0	0.025	0	0	0	1.552	1.133
SLC39A10	35.608	38.578	43.918	31.62	6.941	12.605	4.162	5.698	20.995	25.621	21.49
KCNV1	0	0	0	0	0.482	0.151	0.054	0	0	0	0.006
ACP1	24.161	35.902	25.997	26.272	103.441	143.145	94.153	81.522	54.103	97.174	115.9
ZMYM2	16.901	23.804	23.007	23.261	9.226	5.164	3.089	1.791	7.579	11.691	6.357
B3GNT6	0.103	0.129	0.189	0.267	0.315	0.377	0.257	0.107	0.37	0.27	0.237
C9orf69	6.633	4.865	3.566	5.072	1.393	3.8	20.923	13.805	18.194	11.686	15.47
C2orf15	126.557	64.316	45.222	76.66	23.87	6.563	1.026	9.868	0.206	13.462	5.087
LOC283177	0	0	0	0	0	0	0	0	0	0	0.022
C20orf166	0	0	0	0	0	0	0	0	0	0	0
NEURL	0.98	1.388	1.656	2.035	0.862	1.603	0.057	0	0	0.234	0.06
LOC645752	0.048	0.332	0.227	0.186	0.041	0	0.017	0	0	0.138	0
LPL	0	0	0	0	0	0	0	0	0	0	2.226
LOC439994	0.983	0.722	0.921	0.185	4.666	2.327	0.016	0.192	0	4.639	0.894
CLEC2D	14.216	12.742	18.679	15.561	26.002	48.884	43.964	25.113	41.787	24.806	17.858
GRRP1	0	0	0	0	1.745	2.813	0	0	0	0.093	0.37
C1orf223	0	0.063	0	0	0.007	0.194	0	0	0	0	0
PCOTH	0.057	0.542	0.243	0.62	0.129	0.144	1.586	2.154	0.432	1.274	2.902
CD8B	0	0	0.122	0.526	0	0.012	0	0	0	0.806	0.182
HIST1H3D	0	0	0	1.12	40.133	8.185	0.787	0	0.358	1.179	14.696
SLC6A12	0	0	0.183	0.119	0.221	0	0	0	0	0	0
CD84	0.141	0.092	0.149	0.041	0.048	0.198	0.144	0	0.113	0.086	0.035
FAM27L	0	0	0	0	0	0.054	0	0	0	0	0
ETV3L	0	0.128	0.158	0.132	1.26	0.059	0.042	0.042	0.087	0.031	0.01
RASA1	19.014	17.218	11.292	21.482	9.702	9.122	4.951	5.719	15.906	11.777	9.847
PHKG1	0	0	0	0.013	1.585	0.807	0.008	0.035	0	0.034	0.004
CHADL	0	0	0	0	0.026	0.127	0.03	0.02	0	0.013	0.01
MAGEA11	0	0	0	0.32	1.983	0.051	0	0	0	0	0
QRFPR	0.034	0	0.018	0.013	0.139	0.5	0.11	0	0.117	0.998	0.594
IMPA1	23.39	37.693	37.864	57.444	12.262	7.743	4.31	0.11	8.649	1.962	3.208
SH3BP1	0.581	1.776	1.592	2.834	0.25	0	0.025	0.758	0.891	0.249	0.168
NPM3	128.013	82.882	167.405	271.665	229.983	42.057	51.244	191.425	69.528	116.221	198.147
RARRES1	0.197	0.084	0.191	0.197	0	0.385	9.185	1.497	3.212	0	0
RFPL4A	0.183	1.283	0.495	104.953	451.714	5.628	0	0	0.869	0.15	0
B3GNTL1	1.169	1.156	0.502	0.908	0.108	0.587	6.888	0	1.36	2.656	6.643
ARPC5L	26.146	21.913	17.138	13.75	111.211	136.558	85.246	102.007	92.445	56.223	49.724
LOC100129726	0	0	0	0	0	0	0	0	0	0	0.48
ERMN	0	0	0	0.021	0	0	0	0	0	0	0.033
KLHL26	55.762	28.166	19.506	17.615	0.732	1.315	0.283	0.609	0	3.372	2.603
STRA13	0.653	4.279	2.952	2.251	6.06	8.632	36.198	35.097	5.653	33.141	60.489
SIM2	0.077	0	0	0.051	0	0.108	0.58	0.577	1.446	0.051	0.004
GJC1	14.014	15.624	9.799	13.858	11.184	7.805	4.885	3.58	2.237	12.312	10.192
SLC2A2	0	0	0	0.054	0.161	0	0	0	0	0	0
C20orf194	30.492	15.936	15.675	23.057	7.909	2.464	0.457	0.942	1.099	1.476	2.97
EXO1	5.733	12.432	7.185	18.273	19.301	16.048	23.099	4.513	30.146	11.746	14.1
LOC285074	0.954	2.086	1.878	2.145	15.999	2.768	3.232	0.486	4.748	5.71	6.819
LRG1	0.258	0.443	0.498	0.923	0.605	3.743	2.038	1.54	0.335	0.364	1.639
KIRREL	0	0	0	0	0	0.075	0	0	0	1.099	0.985
PIK3R1	25.621	27.37	20.629	22.243	7.906	8.032	1.396	3.062	7.357	0.148	0.241
C4orf34	71.56	31.933	20.382	9.922	5.702	4.563	7.861	1.989	4.459	24.551	33.299
MAF	0	0.145	0	0.072	0.697	0.177	0	0	0	1.262	1.741
ADCY4	0	0	0	0.02	0	0.211	0	0	0	0	0.047
ZMIZ2	0.774	2.631	2.686	4.31	0.767	0.091	1.773	1.548	0.403	2.416	3.135
SLC46A3	0.55	0.288	0.187	0.165	0.055	0	0	0	0	0	0
TET1	0	0	0	0.098	3.301	2.812	50.684	22.941	34.415	16.972	16.523
SNORA33	0	0	0	0.133	6.379	7.579	3.287	0.057	1.044	2.202	5.361
PPIAL4E	0.051	0.034	0	0.043	0.099	0.079	0.45	0.157	0.365	0.177	0.083
STAMBP	23.274	19.272	21.15	14.868	17.814	15.178	17.866	20.258	16.046	20.877	30.736
C22orf39	1.113	0.869	0.64	0.38	1.214	3.603	6.538	2.696	3.169	9.173	13.23
LOC145837	10.786	8.843	5.982	13.905	5.967	0.714	0	0	0	0	0.137
MS4A12	0	0	0	0	0.031	1.806	1.876	0	0	0.43	0.21
TCF20	10.856	23.554	14.867	25.617	4.569	1.424	2.553	3.862	3.179	1.972	1.789
STAG3L2	3.835	3.816	3.335	2.019	109.446	73.978	2.635	5.304	5.05	7.121	19.758
FAM178B	0.538	0.417	0.454	1.089	0.76	1.028	0.992	0	0.498	0	0.008
MIR555	0	0	0	0	0	0	0	0	0	0	0
C20orf152	0.063	0	0	0.117	0.568	3.916	0	0	0	0	0
LRRC46	0.802	4.518	3.036	5.924	1.028	1.796	0.049	1.155	0	0.163	0.535
MRPS6	98.941	100.123	68.746	37.889	44.61	32.622	151.34	122.812	131.355	127.409	180.447
ABCB11	0.167	0.168	0.092	0.204	0	0.087	0	0	0.183	0	0
LOC286186	0.093	0.259	0.271	0.214	0.378	0.707	0.402	0.06	0.398	0.546	0.464
KCNC2	0	0	0	0.016	0	0.026	0	0	0	0	0
CDH19	0	0	0.021	0	0	0	0	0	0	0.572	0
C9orf123	5.535	0.88	0.62	0.516	1.745	9.142	35.218	62.798	52.62	35.288	58.18
SSH3	0.185	0.421	0.175	0.559	0.006	0.408	1.018	0.754	0.021	0.8	2.881
LDLRAD1	0	0	0	0.051	0	0	0	0	0	0	0
ZNF135	1.011	5.704	2.871	6.283	0.44	0.259	0	0	0	4.353	5.583
CCBE1	15.122	25.556	17.117	18.362	2.658	0.699	1.33	5.11	0.358	1.591	1.393
SARNP	13.582	4.693	4.987	8.855	59.277	97.914	115.866	63.748	102.684	119.84	117.135
CCDC42	0.622	0.184	0.042	0.19	0	0	0	0	0	0	0
TIMM50	1.057	3.025	1.745	1.938	82.442	111.373	42.321	62.338	50.591	30.563	41.009
PER1	0.039	4.362	2.378	4.821	5.204	2.883	0.018	0.283	0.379	2.194	1.887
SMARCAD1	4.75	3.933	2.505	3.245	4.654	8.927	10.857	5.813	12.767	8.831	5.206
TP53TG3	9.569	7.935	4.975	6.044	5.646	5.035	0	0.905	0	0.327	0.004
SH3RF1	4.417	4.773	2.573	4.56	0.612	3.543	13.9	5.181	12.576	8.125	5.556
GPR63	0.91	1.666	0.712	0.641	0.367	0.296	0.459	0	0	1.257	2.759
LMCD1	1.415	1.055	0.925	2.291	1.015	0.827	0	0.621	0	13.548	12.248
AIFM3	0	0	0.018	0.05	0	0.565	0	0	0	0	0
MICAL1	0.157	0.608	0.472	1.543	1.311	0.273	1.301	0.024	0.336	4.386	12.746
SHOX	0.107	0.308	0.157	0.225	0.323	0.456	0.737	0	0.365	0.35	0.132
BLZF1	5.295	6.098	5.023	11.508	16.431	14.617	6.15	2.589	0.305	2.519	1.909
PCDHGC3	0	0	0	0	0.03	0.109	0	0	0.115	0.081	0.899
TMEM232	1.347	3.954	3.423	4.427	1.707	0.359	0	0	0	0.596	0.035
BCL6B	0	0.206	0.234	0.933	0.237	1.2	0	0.134	0	0.918	0.122
OR10G4	0	0.048	0	0	0	0	0	0	0	0	0
TMEM183B	2.733	8.035	4.296	6.557	19.068	22.069	25.132	37.17	23.7	25.413	26.073
MARCO	0	0	0	0.06	0	0	0	0	0	0	0
DCHS1	0	0	0	0	0.035	0.035	0.007	0.186	0	0.11	0.386
AKR7L	0	0	0	0.018	0.017	0.249	0.136	0.035	0	0.062	0.01
LOC283314	0	0	0	0.038	0.026	0	0	0	0.093	0	0.203
C1orf170	0	0	0.028	0	0	0	0	0	0	0	0.006
CD200R1	0	0	0	0	0.739	0	0.097	0	0	0	0
NOBOX	0.451	3.59	3.27	7.533	0.42	0.879	0	0	0	0	0
C22orf15	0	0	0	0	0	0.166	0	0	0	2.343	0.782
CXorf65	0	0	0	0.039	0.005	0.359	0.91	0.255	0.651	0.09	0
41163	87.916	78.405	79.054	64.698	23.054	42.482	39.939	49.418	188.56	24.826	33.833
ADNP	2.486	4.308	2.458	4.108	16.992	13.022	12.415	8.919	27.796	22.018	24.571
UST	2.049	0.606	1.985	3.732	1.8	0.051	7.947	8.518	13.699	9.348	11.688
C13orf34	5.003	5.437	3.375	6.913	11.855	6.663	7.851	0.381	14.975	7.478	2.983
RFFL	16.798	20.956	11.792	14.68	8.969	2.669	3.038	5.944	9.438	5.079	5.372
NIPAL1	0.202	0.078	0.057	0.012	0.846	15.052	16.159	5.409	2.48	6.469	2.147
APBA3	0.419	0.524	0.549	0.185	0.705	6.349	6.136	2.963	5.983	6.174	9.146
C2orf60	0.967	0.82	0.396	0.807	1.394	2.096	6.193	0.546	7.57	5.375	3.624
ZNF689	175.944	113.479	152.715	93.635	73.984	32.298	6.831	8.591	14.433	15.236	16.541
PMS1	19.521	16.196	11.257	5.651	3.67	3.645	7.412	4.26	9.302	10.715	9.526
EIF3E	168.788	133.01	120.725	101.131	155.772	330.669	698.202	359.056	449.933	682.918	404.126
IL9	7.091	0.576	0.353	0.916	0.233	0	0	0	0	0	0
RPL31	38.864	82.569	100.727	212.794	282.545	316.26	417.29	927.55	555.893	496.84	914.12
ZNF814	4.889	21.32	17.436	18.349	11.254	15.343	3.094	3.685	6.117	7.9	7.185
TFCP2	5.769	3.436	2.151	1.449	6.452	14.553	11.891	7.51	2.955	18.736	14.17
ATP2B3	0	0	0	0.082	0	0	0	0	0	0	0
KDELR2	24.608	18.177	17.305	25.113	14.103	16.747	39.188	65.136	41.897	35.946	32.978
NLRP12	5.967	9.768	6.166	6.655	3.949	4.145	6.546	4.184	30	3.527	3.447
ZNF570	4.251	10.574	7.504	10.885	1.57	2.977	0.165	0.088	0	0	0.261
TLE4	3.714	15.87	9.952	11.037	10.333	4.175	1.287	0.233	3.124	4.476	4.234
TLK2	18.103	13.269	10.592	14.179	26.869	18.501	14.918	19.056	7.042	22.411	15.41
LOC100132273	2.983	1.944	1.375	1.525	11.541	19.846	1.459	0.828	0	0.562	0.702
MARS2	1.123	1.522	0.688	0.917	9.277	8.131	4.534	7.091	5.082	2.572	7.177
COL24A1	0	0	0.019	0.011	0.075	0	0	0	0.373	0.046	0.16
SDF2L1	2.378	1.31	0.898	1.227	0.933	6.529	21.159	24.316	33.445	11.117	12.237
HIBADH	18.705	14.064	6.306	6.194	3.847	1.328	6.576	10.053	10.72	9.109	7.058
IGFBP3	36.403	18.442	12.797	49.978	7.686	1.574	0	0	0	2.579	4.984
DEK	60.944	96.716	69.804	43.554	34.569	47.757	59.885	36.119	54.777	81.379	94.872
C12orf23	0.096	0.399	0.199	0.075	4.584	2.344	0.063	0	2.194	3.671	2.147
C20orf43	5.904	42.739	30.476	54.588	63.398	103.732	50.551	47.586	41.955	21.746	34.676
PSPC1	40.632	13.569	11.185	9.827	174.708	171.263	108.777	70.446	35.118	63.535	39.21
ARHGAP24	0.829	0.39	0.363	1.756	0.123	0	1.167	0	0	0.073	0.016
C1QA	0	0	0	0.018	0	0	0	0	0	0	0
SNORD62A	0	0	0	0	0	0.097	0	0	0	0	0
DNTT	0	0	0	0	0.835	0	0	0	0.161	0	0
EIF3CL	6.411	7.282	12.375	29.531	53.898	53.481	58.679	96.737	98.119	54.565	93.474
C11orf41	4.926	5.78	4.444	7.777	1.922	0.148	0.013	0	0	0.048	0.135
EFR3A	5.039	7.728	4.902	6.306	2.09	1.031	3.822	1.456	2.772	0.708	4.561
COL11A1	0.094	0	0	0	0.157	0.014	0	0	0	0.345	1.346
UBAP2	16.328	29.644	22.062	36.398	70.071	78.507	47.284	41.565	82.428	31.793	36.258
CDKN2AIPNL	3.843	6.174	3.338	4.379	2.009	2.516	6.871	13.081	8.21	14.384	19.07
LOC400548	0	0	0.017	0.019	0.072	0.135	0.132	0	0.237	0.044	0.012
PCDHB19P	0	0	0	0	2.223	0.552	0.006	0	0	0.013	0.202
SPRED2	0.482	1.357	1.085	2.069	12.81	14.404	8.642	20.925	17.744	8.498	6.118
NBPF14	10.897	5.879	6.827	4.798	12.138	18.109	3.421	1.767	12.037	4.916	7.908
PLA2G12A	1.131	1.196	0.468	0.475	2.171	3.763	3.605	2.094	5.127	4.224	6.411
C11orf65	3.223	3.843	3.135	1.604	2.14	4.922	0.12	0	0	1.398	0.233
GBP5	4.139	4.621	5.007	5.593	3.072	9.45	0.731	0.045	0.376	0.183	0.156
PITPNC1	2.336	3.054	2.039	8.096	2.57	3.634	61.446	29.726	25.121	12.476	11.523
MGC16142	0	0.412	0.255	0.082	0.55	0.864	0.192	0	0.046	0.964	0.013
NCOA7	1.686	3.038	2.152	2.686	0.839	0.721	0.759	0.433	1.307	0.455	0.917
LIN7C	10.632	10.902	7.483	13.298	5.701	4.826	15.715	8.119	11.841	14.274	6.835
ODF3B	0	0	0	0	0	0	0	0.203	0	0	0
LOC348840	0.4	0.245	0.018	0	0	0.129	0.011	0	0.084	0.056	0.08
LOC401588	0	0.071	0.093	0	1.328	4.042	0.578	0.163	1.946	3.837	2.822
C6orf94	108.966	85.21	80.272	113.714	19.844	0.56	0.011	0	0	0	0.172
SNORD79	0	0	0	0	0	0	0	0	0	0.255	0.037
NKX2-2	0	0	0	0	0.78	1.663	0	0	0.021	0.424	0.06
PIK3R6	0	0	0	0	0.009	0	0	0	0	0	0
ANKRD13D	0.498	0.277	0.33	0.302	0.532	2.502	2.249	2.708	0	4.307	2.753
SNORA71C	0	0	0	0	0.038	0.349	0	0	0.599	0	0.771
FUT2	0.911	1.569	2.295	1.541	1.081	1.066	0.469	0.137	4.358	0.774	1.391
TAAR8	0	0	0	0.028	0	0	0	0	0	0	0
FZD4	2.186	1.408	1.615	1.243	3.967	3.653	2.359	0.914	3.66	2.478	1.352
PNMA3	0	0	0	0	0.09	0.077	0	0	0	2.31	0.829
GAGE8	0	0	0	1.105	4.673	5.483	0.133	30.17	0.918	0	0.028
EXOC3L	0	0	0.017	0.029	0.157	0.034	0.009	0	0	0	0
OR4N3P	0.108	0	0	0	2.414	0	0	0	0	0	0
ATPBD4	4.097	5.157	2.122	3.874	1.846	7.613	16.468	6.047	4.465	12.326	7.233
KRBA1	0.111	0.046	0	0.119	0.065	0.081	0.006	0.618	0	0.27	0.506
BCYRN1	0.714	1.586	12.365	0.79	5.781	78.451	70.15	4.099	44.576	3.428	5.07
HOXB7	5.497	6.266	1.438	5.082	1.049	17.101	4.175	7.819	13.232	0	0.018
C7orf23	29.25	7.492	4.655	4.926	5.228	7.35	2.384	4.608	4.724	20.615	14.145
STAB2	0.991	2.229	1.498	3.601	1.282	0.153	0	0	0	0	0
POTEB	0	0.074	0.035	0.034	0.348	0.091	0	0	0	0	0.011
CDC20B	0.759	1.999	2.153	1.506	0.466	0.029	0.066	0	0	0	0.065
TNPO2	5.946	5.539	7.04	5.365	23.942	21.964	22.278	16.539	13.09	18.891	26.994
IRF9	0	0.089	0.094	0	0.722	0.359	0.388	0.147	0	1.345	1.047
MCPH1	15.379	22.609	14.423	24.64	27.345	16.362	7.067	6.621	7.413	4.127	2.791
SLC26A7	0	0	0	0	0.254	0	0	0	0	0.015	0
BMS1P5	0.246	0.13	0.172	0.289	1.224	2.076	1.485	0.156	0.452	0.899	1.784
HIST1H3J	0	0	0	0.515	4.618	1.366	0	0	0	1.46	1.839
C9orf3	4.761	4.232	1.684	2.885	2.457	3.062	7.072	2.912	2.948	2.095	2.592
LBH	1.25	0	0.02	0.597	21.755	15.65	0.174	14.721	27.215	21.695	22.219
SYNM	7.856	13.274	7.626	8.101	1.679	0.915	0.007	0	4.679	0.137	0.308
MYO1D	0.812	0.96	0.353	1.112	0.837	0.263	1.928	0.225	0.678	0.273	1.941
PTDSS2	4.195	4.866	4.723	13.176	5.637	3.229	24.347	47.032	16.342	12.564	12.257
NFU1	91.379	30.1	16.323	23.224	12.669	13.191	58.867	61.479	24.637	40.138	58.37
BHLHE23	0	0	0	0	0.386	0	0	0	0	0.027	0
DEPDC4	2.636	2.12	1.221	1.08	2.19	1.796	0.049	0	0	2.025	1.509
WNT7B	0.215	0.166	0.206	0.341	0.569	0.96	16.497	5.812	0.923	0.81	1.213
GLP2R	0	0	0	0	0.17	0	0	0	0	0	0.006
SETD4	22.067	5.725	4.56	10.87	12.95	10.756	3.278	0.579	0.222	17.799	13.49
DYNLT3	0	0	0	0.035	7.152	3.23	0.521	3.92	16.123	5.426	1.463
FKBP11	0.034	0	0	1.05	1.813	4.647	10.94	6.319	17.848	32.747	24.382
SESTD1	19.114	13.251	9.786	14.293	4.525	7.112	4.346	2.971	8.215	5.31	3.167
FLII	8.137	6.834	5.927	17.204	3.625	1.707	10.912	13.94	6.095	16.593	19.505
RPS16	1054.153	720.259	910.951	1845.669	2300.11	2271.868	2341.95	4319.319	3289.229	2701.985	3946.843
CHPF	0.508	3.165	2.24	4.101	1.485	0.187	2.146	1.512	0.583	5.74	11.649
CSNK2A1	28.086	56.995	52.925	63.985	59.33	103.01	46.753	36.802	43.521	50.934	47.67
SUMO1P1	0	0	0.039	0.167	0.129	1.48	0	0	0	0	0
FKBP6	30.487	14.033	12.839	24.853	12.318	8.64	0	0	0	0.084	0.09
ZNF214	3.154	12.448	7.233	23.938	7.2	3.146	0.089	0	1.066	0.322	0.932
TWIST1	6.724	3.454	1.694	1.596	0.686	0.083	0	0.623	0.176	0.434	0.537
DDX56	1.774	10.672	10.25	12.75	25.024	24.836	24.63	37.648	20.884	12.005	24.463
OR4F16	5.125	4.972	2.93	5.005	1.1	2.382	0	0	0	0	0
TRAM1L1	0	0.034	0	0.151	0.013	0.778	0	0	0	0.196	0.485
EPO	0	0	0	0.197	1.216	0.139	0	0	0	4.464	1.377
MRPS18B	142.142	93.23	69.666	89.098	125.515	159.847	169.612	143.534	120.011	105.041	100.126
ZNF682	9.185	8.017	5.998	5.988	18.21	9.262	3.23	1.321	7.879	23.223	10.821
RPL14	456.746	156.454	242.274	372.573	793.348	1583.112	1826.568	2729.776	1978.828	2086.257	2530.966
TMEM208	13.688	3.124	3.141	6.815	150.195	190.106	118.501	112.051	45.501	58.837	68.752
MAFF	1.323	1.459	0.785	0.467	1.056	3.913	2.324	1.222	1.47	12.693	7.835
LY96	0	0	0	0	0.006	0.01	0	0	0	0	0
ABTB1	0.117	0.229	0.157	0.495	1.494	1.213	0	3.603	4.333	1.786	1.525
DDX20	2.565	15.141	10.184	18.503	44.756	19.724	13.99	6.699	15.433	18.548	11.293
KIR2DL5A	0	0	0	0	0	0.013	0	0	0	0	0
ARL5A	29.633	21.796	10.567	18.39	8.963	11.938	45.616	21.222	33.977	22.38	17.423
CCT6A	22.534	5.814	4.1	5.208	136.227	173.234	557.964	465.378	440.28	338.063	410.739
CISD3	0.24	0.528	0.305	0.369	0.593	0.825	3.465	6.691	1.256	5.701	7.279
EHHADH	0.168	0	0.101	0.043	0.139	1.515	0.514	2.248	0.139	2.219	2.105
HEPACAM	0	0	0.033	0	0	0	0	0	0	0	0
RBAK	0.036	0.04	0.019	0.126	0.203	2.675	1.479	1.346	1.631	1.608	1.472
CGB1	0	0	0	0.017	0.237	0.293	0	0	0.054	0	0.08
ITGB5	6.999	2.845	2.455	9.579	4.652	10.349	23.303	21.637	37.523	42.037	53.554
YIPF3	3.314	1.405	1.485	4.881	11.039	12.114	10.559	23.374	27.895	23.341	28.755
RGL4	0	0	0	0	0.011	0.075	0.014	0	0	0.053	0
TYMP	0	0	0	0	0.056	0	0	0	0	0	0.203
FKBP2	13.309	6.56	3.684	5.602	14.585	11.61	57.939	54.582	45.504	80.19	70.155
DIO3OS	0	0	0	0	0	0	0	0	0	0	0
NR1D1	0.192	0.901	0.808	1.202	0.151	0.971	0.132	0.442	0.051	0.998	0.733
TMEM110	1.628	6.229	2.905	4.595	2.445	1.749	1.86	4.251	1.392	2.775	3.107
NEK2	34.562	72.711	38.322	61.469	85.536	55.517	16.839	9.686	21.487	16.718	9.082
PRAMEF8	0	0	0	17.417	57.393	2.727	0	0	0	0	0
C17orf106	0.28	0.176	0.322	2.219	2.307	4.581	24.64	35.105	26.169	7.063	11.723
RPL23AP82	4.435	13.708	14.157	15.972	14.551	43.761	26.094	10.474	10.882	8.912	7.381
C5orf41	0.71	1.245	0.644	0.55	2.27	2.841	0.104	0.057	0.271	0.723	0.284
PCDHGA3	0	0	0	0	0.015	0.338	0	0	0.07	0	0.201
THEMIS	1.586	4.441	3.745	8.957	3.546	1.118	0	0	0	0	0
VWA3B	0.059	0	0.061	0.153	0	0	0	0	0	0	0
NDUFA5	3.283	10.129	4.631	9.186	7.316	15.499	49.126	39.087	25.6	45.065	36.394
THAP9	1.267	4.119	2.712	2.979	2.902	2.629	3.54	0.246	0	2.472	3.013
FLVCR2	27.931	34.053	23.868	21.305	6.128	5.293	5.631	4.403	1.032	0.825	0.999
AP1S1	3.125	2.258	2.778	2.036	1.853	0.251	1.675	15.503	14.489	2.688	4.001
ANKRD58	0	0	0.023	0.086	0.513	0.164	0	0.09	0	1.351	0.38
TMEM206	28.903	8.477	8.35	13.092	2.274	5.145	6.612	2.318	3.09	10.921	6.907
SMAD6	0.257	0	0.098	0.052	0	0	0	0	0.02	0.099	0.057
SAV1	206.323	101.727	29.213	16.432	18.053	13.391	41.767	55.255	149.384	49.068	34.951
SAT1	17.135	4.56	1.68	1.1	6.985	8.487	3.198	80.296	252.645	40.209	32.464
ZNF251	32.389	18.679	12.202	17.752	6.572	4.105	2.655	2.282	0.163	1.454	1.198
ADAMTS7	0	0	0.036	0.127	0.045	0.037	0	0	0	0.187	0.778
RPP38	16.882	20.692	10.368	8.126	10.177	36.685	24.885	26.251	29.385	6.857	5.058
YPEL2	18.819	16.862	14.462	12.901	84.859	65.164	14.444	1.951	10.407	0.168	0.434
RBMS1	13.949	5.391	1.965	5.492	13.33	29.143	69.959	82.746	199.318	28.105	53.39
ZNF445	3.561	6.438	4.182	4.547	0.764	0.556	0.654	0.988	0.867	1.628	0.845
NRXN2	0.04	0.211	0.063	0.088	0.009	0.303	0.157	0.502	0.419	0.084	0.091
FLJ33065	1.054	0.757	0.416	0.79	0.709	0.206	0	0	0.282	0.722	0
PGBD4	0.302	0.237	0.226	1.295	0	3.243	0.327	3.225	0.107	1.643	0.938
WBSCR16	10.738	5.788	4.301	4.93	3.732	7.457	6.314	15.779	5.491	8.129	12.688
UGT2B28	0	0	0	0	0	0	0	0	0	0	0
NLRC3	0.085	0.232	0.148	0.213	0.149	0.14	0.077	0	0.131	0.38	0.058
ASTL	6.493	27.361	12.385	40.784	16.173	5.995	0	0	0	0	0.015
ZADH2	0.231	0.2	0.023	0.269	0	0.198	0.055	0	1.171	0.546	0.58
ST6GALNAC1	0	0	0	0	0.02	0.024	8.217	1.615	7.966	0	0
MLLT4	10.312	10.059	7.339	7.795	12.731	10.024	3.83	5.915	4.098	5.869	5.247
ARL6	18	5.182	3.03	6.273	0.715	2.511	2.398	3.944	0	2.586	3.236
TRMT2A	0	1.054	0.371	0.363	4.582	7.84	17.603	17.639	8.521	10.304	9.345
MEF2C	0	0	0	0	0.013	0.03	0	0	0	0	0
CBFA2T3	4.937	14.088	11.706	10.389	0.937	0.055	0	0	0	1.004	0.242
C1orf200	0	0	0	0	0	0	0	0	0	0	0.031
AFF3	1.208	1.817	1.281	3.486	0.754	0.68	0.006	0	0	0.018	0.245
COG7	2.048	0.502	0.54	1.041	6.379	4.825	6.335	3.132	0.63	8.172	8.945
MYB	0	0	0	0	3.516	1.018	0	0.048	0.298	0.234	1.571
PLXNA3	0.051	0.385	0.377	0.436	0.629	0.183	0.156	0.616	0	0.528	0.259
XRCC2	1.438	2.64	1.826	2.786	1.15	9.342	3.217	3.35	8.585	4.673	5.503
MMS19	2.289	7.833	5.305	8.264	6.417	7.858	7.183	20.451	21.63	11.609	20.369
ST8SIA5	0	0	0	0.099	5.575	5.013	0	0.102	0	2.647	0.381
CHPT1	15.048	6.11	3.635	2.77	1.892	7.097	57.927	11.025	9.725	7.322	7.984
RPTOR	0.815	1.936	1.27	3.926	4.36	3.505	0.83	0.983	0.45	0.547	0.336
KIAA1712	10.393	10.805	6.716	8.423	6.899	5.269	3.956	4.72	2.885	5.875	2.264
